<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2020.09.18;15:12:00;122050;122050;122000;122010;503;1692;10
2020.09.18;15:13:00;122010;122010;121910;121950;904;2001;10
2020.09.18;15:14:00;121940;121950;121840;121840;723;1560;10
2020.09.18;15:15:00;121850;121850;121790;121820;652;1757;10
2020.09.18;15:16:00;121810;121840;121760;121780;494;1344;10
2020.09.18;15:17:00;121770;121870;121730;121870;831;1875;10
2020.09.18;15:18:00;121870;121930;121830;121870;653;1220;10
2020.09.18;15:19:00;121870;121870;121840;121870;209;371;10
2020.09.18;15:20:00;121860;121920;121850;121900;296;498;10
2020.09.18;15:21:00;121900;121920;121860;121880;246;432;10
2020.09.18;15:22:00;121870;121890;121740;121750;785;1409;10
2020.09.18;15:23:00;121750;121840;121730;121840;416;712;10
2020.09.18;15:24:00;121840;121920;121820;121870;460;877;10
2020.09.18;15:25:00;121880;121880;121810;121840;263;577;10
2020.09.18;15:26:00;121830;121920;121740;121870;573;1251;10
2020.09.18;15:27:00;121870;121890;121840;121840;269;497;10
2020.09.18;15:28:00;121840;121860;121780;121810;303;502;10
2020.09.18;15:29:00;121810;121870;121780;121850;242;575;10
2020.09.18;15:30:00;121850;121850;121780;121790;176;338;10
2020.09.18;15:31:00;121800;121830;121790;121810;160;236;10
2020.09.18;15:32:00;121820;121820;121770;121800;161;312;10
2020.09.18;15:33:00;121810;121950;121810;121920;779;1577;10
2020.09.18;15:34:00;121930;121940;121820;121870;355;717;10
2020.09.18;15:35:00;121850;121920;121840;121860;293;548;10
2020.09.18;15:36:00;121870;121950;121850;121950;346;760;10
2020.09.18;15:37:00;121950;121990;121920;121970;557;995;10
2020.09.18;15:38:00;121970;122020;121950;122000;491;782;10
2020.09.18;15:39:00;121990;122010;121950;122000;302;563;10
2020.09.18;15:40:00;121980;122000;121950;121990;272;506;10
2020.09.18;15:41:00;121990;122000;121940;121970;177;256;10
2020.09.18;15:42:00;121960;121970;121950;121960;138;231;10
2020.09.18;15:43:00;121950;121980;121940;121950;137;245;10
2020.09.18;15:44:00;121950;122020;121940;122000;245;372;10
2020.09.18;15:45:00;122000;122080;122000;122070;462;760;10
2020.09.18;15:46:00;122060;122070;122030;122040;252;399;10
2020.09.18;15:47:00;122050;122090;122050;122090;293;578;10
2020.09.18;15:48:00;122100;122130;122070;122090;390;1259;10
2020.09.18;15:49:00;122080;122100;122050;122090;166;256;10
2020.09.18;15:50:00;122070;122090;122050;122060;126;191;10
2020.09.18;15:51:00;122050;122090;122040;122080;121;276;10
2020.09.18;15:52:00;122080;122120;122040;122050;193;357;10
2020.09.18;15:53:00;122050;122060;122000;122060;332;623;10
2020.09.18;15:54:00;122050;122100;122050;122060;167;287;10
2020.09.18;15:55:00;122060;122070;122030;122060;148;264;10
2020.09.18;15:56:00;122070;122090;122060;122080;76;154;10
2020.09.18;15:57:00;122080;122090;122060;122070;43;63;10
2020.09.18;15:58:00;122070;122140;122060;122140;207;528;10
2020.09.18;15:59:00;122130;122150;122080;122120;283;507;10
2020.09.18;16:00:00;122130;122200;122090;122180;676;1456;10
2020.09.18;16:01:00;122170;122210;122140;122210;392;698;10
2020.09.18;16:02:00;122200;122230;122190;122210;225;438;10
2020.09.18;16:03:00;122210;122210;122140;122150;312;664;10
2020.09.18;16:04:00;122150;122190;122130;122190;262;674;10
2020.09.18;16:05:00;122190;122210;122140;122150;210;417;10
2020.09.18;16:06:00;122150;122170;122080;122080;385;918;10
2020.09.18;16:07:00;122080;122140;122050;122140;453;899;10
2020.09.18;16:08:00;122140;122160;122110;122110;150;521;10
2020.09.18;16:09:00;122110;122170;122110;122130;152;262;10
2020.09.18;16:10:00;122120;122160;122100;122110;200;419;10
2020.09.18;16:11:00;122110;122150;122060;122130;417;1029;10
2020.09.18;16:12:00;122130;122160;122080;122100;304;677;10
2020.09.18;16:13:00;122110;122130;122090;122130;136;258;10
2020.09.18;16:14:00;122120;122140;122070;122090;127;218;10
2020.09.18;16:15:00;122080;122080;122010;122040;400;829;10
2020.09.18;16:16:00;122040;122070;122000;122050;325;618;10
2020.09.18;16:17:00;122050;122070;122040;122040;194;317;10
2020.09.18;16:18:00;122050;122060;121950;121990;501;913;10
2020.09.18;16:19:00;121990;122000;121930;122000;421;917;10
2020.09.18;16:20:00;122000;122020;121920;121920;425;763;10
2020.09.18;16:21:00;121920;121940;121880;121930;327;650;10
2020.09.18;16:22:00;121920;121950;121870;121930;341;714;10
2020.09.18;16:23:00;121940;121980;121930;121960;188;277;10
2020.09.18;16:24:00;121970;121970;121880;121910;192;421;10
2020.09.18;16:25:00;121900;121940;121900;121920;200;617;10
2020.09.18;16:26:00;121930;121990;121930;121950;237;560;10
2020.09.18;16:27:00;121940;121940;121870;121880;186;414;10
2020.09.18;16:28:00;121880;121900;121810;121890;503;945;10
2020.09.18;16:29:00;121890;121890;121770;121810;470;1114;10
2020.09.18;16:30:00;121820;121890;121820;121850;725;1470;10
2020.09.18;16:31:00;121850;121860;121750;121760;612;1273;10
2020.09.18;16:32:00;121750;121810;121700;121780;1118;2217;10
2020.09.18;16:33:00;121780;121900;121730;121860;697;1442;10
2020.09.18;16:34:00;121870;121950;121840;121850;566;1333;10
2020.09.18;16:35:00;121850;121890;121790;121790;508;884;10
2020.09.18;16:36:00;121780;121800;121700;121730;667;1414;10
2020.09.18;16:37:00;121730;121770;121630;121640;833;1885;10
2020.09.18;16:38:00;121650;121760;121640;121730;540;1100;10
2020.09.18;16:39:00;121730;121790;121720;121720;516;1132;10
2020.09.18;16:40:00;121710;121740;121640;121720;777;1820;10
2020.09.18;16:41:00;121710;121790;121700;121740;499;944;10
2020.09.18;16:42:00;121750;121810;121720;121730;421;842;10
2020.09.18;16:43:00;121720;121740;121670;121730;326;562;10
2020.09.18;16:44:00;121730;121770;121700;121710;245;406;10
2020.09.18;16:45:00;121710;121730;121540;121550;907;2014;10
2020.09.18;16:46:00;121550;121590;121480;121580;1249;2822;10
2020.09.18;16:47:00;121580;121620;121490;121550;583;1208;10
2020.09.18;16:48:00;121540;121640;121520;121550;473;832;10
2020.09.18;16:49:00;121540;121630;121540;121610;398;788;10
2020.09.18;16:50:00;121620;121640;121540;121560;495;1115;10
2020.09.18;16:51:00;121570;121690;121560;121670;668;1695;10
2020.09.18;16:52:00;121660;121780;121660;121720;601;1300;10
2020.09.18;16:53:00;121720;121790;121680;121750;429;922;10
2020.09.18;16:54:00;121750;121790;121700;121770;369;651;10
2020.09.18;16:55:00;121770;121800;121700;121800;488;935;10
